id,trial,top_idx,within_idx,between_idx,within_is_left_or_right,trial_type,question_type,question_idx,choice,rt,stim_onset,IG,IG2,targRace,targGend,winRace,winGend,btwnRace,btwnGend,winRaceMatch,btwnRaceMatch,winGendMatch,btwnGendMatch,comparison,question
data_10,32,8,7,9,2,1,4,4,2,5.8952,137394.6063,1,1,Asian,M,White,F,White,F,0,0,0,0,One-step,Similarity
data_10,33,9,13,5,2,2,4,4,1,2.7355,137401.026,0,0,White,F,Black,M,White,M,0,1,0,0,Two-step,Similarity
data_10,34,4,6,3,1,1,4,4,1,2.5879,137404.2942,1,1,Black,F,White,F,Black,M,0,1,1,0,One-step,Similarity
data_10,35,8,4,12,1,2,1,6,1,8.0296,137407.4123,1,1,Asian,M,Black,F,White,F,0,0,0,0,Two-step,Pos Action
data_10,36,4,8,3,1,3,1,5,2,3.9191,137415.9663,0,0,Black,F,Asian,M,Black,M,0,1,0,0,One-versus-two-step,Pos Action
data_10,37,3,1,4,2,1,4,4,1,7.565,137420.4185,0,0,Black,M,White,M,Black,F,0,1,1,0,One-step,Similarity
data_10,38,9,11,8,1,1,1,5,1,3.0445,137428.5056,1,1,White,F,Asian,F,Asian,M,0,0,1,0,One-step,Pos Action
data_10,39,4,8,15,2,2,4,4,1,7.6076,137432.074,0,0,Black,F,Asian,M,Asian,F,0,0,0,1,Two-step,Similarity
data_10,40,9,11,8,2,1,4,4,2,2.8818,137440.2112,1,1,White,F,Asian,F,Asian,M,0,0,1,0,One-step,Similarity
data_10,41,8,4,10,1,2,4,4,1,2.6085,137443.6294,1,1,Asian,M,Black,F,White,M,0,0,0,1,Two-step,Similarity
data_10,42,3,2,4,2,1,2,12,2,3.1374,137446.7643,1,0,Black,M,White,F,Black,F,0,1,0,0,One-step,Neg Action
data_10,43,8,4,9,2,3,1,1,2,2.8239,137450.4327,1,1,Asian,M,Black,F,White,F,0,0,0,0,One-versus-two-step,Pos Action
data_10,44,3,14,4,2,3,3,3,1,3.3765,137453.7843,0,0,Black,M,Hispanic,M,Black,F,0,1,1,0,One-versus-two-step,Friendship
data_10,45,8,5,9,2,1,1,6,2,5.1082,137457.6861,1,1,Asian,M,White,M,White,F,0,0,1,0,One-step,Pos Action
data_10,46,3,2,4,1,1,3,3,2,3.3229,137463.3222,0,0,Black,M,White,F,Black,F,0,1,0,0,One-step,Friendship
data_10,47,9,10,8,1,1,3,3,1,3.2944,137467.174,1,1,White,F,White,M,Asian,M,1,0,0,0,One-step,Friendship
data_10,48,14,2,13,1,1,2,11,1,2.6113,137470.9925,1,0,Hispanic,M,White,F,Black,M,0,0,0,1,One-step,Neg Action
data_10,49,14,3,13,2,3,4,4,1,7.9126,137474.1273,0,0,Hispanic,M,Black,M,Black,M,0,0,1,1,One-versus-two-step,Similarity
data_10,50,13,9,14,1,3,2,2,1,6.7158,137482.5646,1,0,Black,M,White,F,Hispanic,M,0,0,0,1,One-versus-two-step,Neg Action
data_10,51,3,14,4,2,3,2,11,2,9.9347,137489.8014,1,0,Black,M,Hispanic,M,Black,F,0,1,1,0,One-versus-two-step,Neg Action
data_10,52,3,14,6,1,2,2,10,2,4.973,137500.2563,0,1,Black,M,Hispanic,M,White,F,0,0,1,0,Two-step,Neg Action
data_10,53,8,4,11,1,2,3,3,1,7.3718,137505.7589,1,1,Asian,M,Black,F,Asian,F,0,1,0,0,Two-step,Friendship
data_10,54,8,4,9,2,3,4,4,2,4.6362,137513.6626,1,1,Asian,M,Black,F,White,F,0,0,0,0,One-versus-two-step,Similarity
data_10,55,13,9,14,2,3,3,3,1,2.1549,137518.8318,0,0,Black,M,White,F,Hispanic,M,0,0,0,1,One-versus-two-step,Friendship
data_10,56,3,14,5,2,2,4,4,2,3.9688,137521.5164,1,1,Black,M,Hispanic,M,White,M,0,0,1,1,Two-step,Similarity
data_10,57,14,3,13,2,3,2,10,2,6.6495,137526.0186,1,0,Hispanic,M,Black,M,Black,M,0,0,1,1,One-versus-two-step,Neg Action
data_10,58,13,12,14,1,1,3,3,2,1.527,137533.1886,0,0,Black,M,White,F,Hispanic,M,0,0,0,1,One-step,Friendship
data_10,59,14,3,10,1,2,2,10,2,7.754,137535.2395,0,1,Hispanic,M,Black,M,White,M,0,0,1,1,Two-step,Neg Action
data_10,60,4,5,3,2,1,3,3,1,7.9602,137543.5268,0,0,Black,F,White,M,Black,M,0,1,0,0,One-step,Friendship
data_10,61,13,12,14,1,1,2,2,1,6.3202,137552.0142,1,0,Black,M,White,F,Hispanic,M,0,0,0,1,One-step,Neg Action
data_10,62,4,8,2,2,2,2,10,1,3.9096,137558.8675,0,1,Black,F,Asian,M,White,F,0,0,0,1,Two-step,Neg Action
data_10,63,13,9,14,2,3,1,9,2,3.0946,137563.3029,1,1,Black,M,White,F,Hispanic,M,0,0,0,1,One-versus-two-step,Pos Action
data_10,64,9,13,8,1,3,3,3,1,1.7161,137566.9213,1,1,White,F,Black,M,Asian,M,0,0,0,0,One-versus-two-step,Friendship
data_10,65,14,3,10,2,2,4,4,2,4.8774,137569.1724,1,1,Hispanic,M,Black,M,White,M,0,0,1,1,Two-step,Similarity
data_10,66,13,11,14,2,1,1,7,1,9.5151,137574.5749,0,0,Black,M,Asian,F,Hispanic,M,0,0,0,1,One-step,Pos Action
data_10,67,4,8,2,1,2,1,9,1,2.9619,137584.613,1,1,Black,F,Asian,M,White,F,0,0,0,1,Two-step,Pos Action
data_10,68,8,4,12,1,2,2,10,2,4.5871,137588.0979,0,1,Asian,M,Black,F,White,F,0,0,0,0,Two-step,Neg Action
data_10,69,9,13,8,2,3,4,4,1,6.0708,137593.2171,0,0,White,F,Black,M,Asian,M,0,0,0,0,One-versus-two-step,Similarity
data_10,70,3,14,4,2,3,4,4,2,4.1,137599.8202,1,1,Black,M,Hispanic,M,Black,F,0,1,1,0,One-versus-two-step,Similarity
data_10,71,9,13,5,1,2,2,10,1,10.8553,137604.4558,1,0,White,F,Black,M,White,M,0,1,0,0,Two-step,Neg Action
data_10,72,4,5,3,2,1,2,10,2,8.9076,137615.8445,1,0,Black,F,White,M,Black,M,0,1,0,0,One-step,Neg Action
data_11,1,13,9,2,1,2,1,7,2,11.6115,139152.3661,0,0,Black,M,White,M,White,F,0,0,1,0,Two-step,Pos Action
data_11,2,9,13,8,1,3,1,6,2,8.2252,139164.5053,0,0,White,M,Black,M,White,F,0,1,1,0,One-versus-two-step,Pos Action
data_11,3,4,5,3,2,1,2,12,2,7.6794,139173.2594,1,0,White,M,Asian,M,Hispanic,M,0,0,1,1,One-step,Neg Action
data_11,4,14,3,11,1,2,1,8,1,6.7308,139181.4633,1,1,Asian,F,Hispanic,M,White,M,0,0,0,0,Two-step,Pos Action
data_11,5,14,1,13,2,1,2,13,1,3.317,139188.7167,0,1,Asian,F,White,F,Black,M,0,0,1,0,One-step,Neg Action
data_11,6,8,4,10,1,2,4,4,1,6.5538,139192.5685,1,1,White,F,White,M,White,F,1,1,0,1,Two-step,Similarity
data_11,7,3,14,4,2,3,1,7,1,5.7705,139199.6553,0,0,Hispanic,M,Asian,F,White,M,0,0,0,1,One-versus-two-step,Pos Action
data_11,8,8,4,9,2,3,3,3,2,3.4437,139205.9583,1,1,White,F,White,M,White,M,1,1,0,0,One-versus-two-step,Friendship
data_11,9,8,6,9,2,1,4,4,2,4.9874,139209.9268,1,1,White,F,Black,M,White,M,0,1,0,0,One-step,Similarity
data_11,10,13,9,1,1,2,3,3,1,4.5006,139215.4461,1,1,Black,M,White,M,White,F,0,0,1,0,Two-step,Friendship
data_11,11,8,4,11,1,2,3,3,2,3.4808,139220.4817,0,0,White,F,White,M,White,M,1,1,0,0,Two-step,Friendship
data_11,12,9,13,8,2,3,2,14,2,5.0068,139224.4836,1,0,White,M,Black,M,White,F,0,1,1,0,One-versus-two-step,Neg Action
data_11,13,3,14,4,2,3,3,3,2,5.3747,139230.0197,1,1,Hispanic,M,Asian,F,White,M,0,0,0,1,One-versus-two-step,Friendship
data_11,14,9,13,7,1,2,3,3,2,3.5756,139235.9224,0,0,White,M,Black,M,Black,F,0,0,1,0,Two-step,Friendship
data_11,15,9,10,8,2,1,4,4,2,5.0742,139240.0242,1,1,White,M,White,F,White,F,1,1,0,0,One-step,Similarity
data_11,16,3,2,4,1,1,1,8,1,3.4155,139245.6271,1,1,Hispanic,M,White,F,White,M,0,0,0,1,One-step,Pos Action
data_11,17,3,14,4,2,3,2,2,2,4.8958,139249.5788,1,0,Hispanic,M,Asian,F,White,M,0,0,0,1,One-versus-two-step,Neg Action
data_11,18,14,1,13,2,1,3,3,2,2.8684,139254.9982,1,1,Asian,F,White,F,Black,M,0,0,1,0,One-step,Friendship
data_11,19,14,3,13,2,3,3,3,2,3.267,139258.3997,1,1,Asian,F,Hispanic,M,Black,M,0,0,0,0,One-versus-two-step,Friendship
data_11,20,4,5,3,1,1,1,6,1,5.9841,139262.2016,1,1,White,M,Asian,M,Hispanic,M,0,0,1,1,One-step,Pos Action
data_11,21,8,4,9,1,3,4,4,1,3.801,139268.7213,1,1,White,F,White,M,White,M,1,1,0,0,One-versus-two-step,Similarity
data_11,22,8,4,9,1,3,2,11,1,3.5218,139273.0567,1,0,White,F,White,M,White,M,1,1,0,0,One-versus-two-step,Neg Action
data_11,23,3,14,5,1,2,4,4,1,3.6458,139277.1087,1,1,Hispanic,M,Asian,F,Asian,M,0,0,0,1,Two-step,Similarity
data_11,24,3,2,4,1,1,2,10,2,3.1012,139281.2773,0,1,Hispanic,M,White,F,White,M,0,0,0,1,One-step,Neg Action
data_11,25,14,3,11,1,2,2,10,1,3.9463,139284.9123,1,0,Asian,F,Hispanic,M,White,M,0,0,0,0,Two-step,Neg Action
data_11,26,13,12,14,1,1,1,9,2,3.3414,139289.3811,0,0,Black,M,Asian,F,Asian,F,0,0,0,0,One-step,Pos Action
data_11,27,4,6,3,2,1,3,3,1,5.3447,139293.2496,0,0,White,M,Black,M,Hispanic,M,0,0,1,1,One-step,Friendship
data_11,28,8,4,10,2,2,2,12,1,2.4511,139299.1189,0,1,White,F,White,M,White,F,1,1,0,1,Two-step,Neg Action
data_11,29,13,9,2,2,2,4,4,1,2.9949,139302.1038,0,0,Black,M,White,M,White,F,0,0,1,0,Two-step,Similarity
data_11,30,4,8,15,2,2,4,4,2,3.892,139305.6222,1,1,White,M,White,F,White,F,1,1,0,0,Two-step,Similarity
data_11,31,8,4,10,1,2,1,6,1,3.329,139310.0409,1,1,White,F,White,M,White,F,1,1,0,1,Two-step,Pos Action
data_11,32,14,3,10,1,2,4,4,1,2.9331,139313.8928,1,1,Asian,F,Hispanic,M,White,F,0,0,0,1,Two-step,Similarity
data_11,33,13,9,14,2,3,4,4,1,3.5608,139317.361,0,0,Black,M,White,M,Asian,F,0,0,1,0,One-versus-two-step,Similarity
data_11,34,4,8,3,2,3,2,10,1,2.8683,139321.4464,0,1,White,M,White,F,Hispanic,M,1,0,0,1,One-versus-two-step,Neg Action
data_11,35,3,14,7,1,2,3,3,1,3.0343,139324.8479,1,1,Hispanic,M,Asian,F,Black,F,0,0,0,0,Two-step,Friendship
data_11,36,4,8,2,1,2,1,6,1,4.978,139328.4163,1,1,White,M,White,F,White,F,1,1,0,0,Two-step,Pos Action
data_11,37,3,14,4,1,3,4,4,2,2.7238,139333.9189,0,0,Hispanic,M,Asian,F,White,M,0,0,0,1,One-versus-two-step,Similarity
data_11,38,14,3,12,2,2,3,3,2,2.5918,139337.1704,1,1,Asian,F,Hispanic,M,Asian,F,0,1,0,1,Two-step,Friendship
data_11,39,9,13,6,1,2,1,9,1,5.7212,139340.2886,1,1,White,M,Black,M,Black,M,0,0,1,1,Two-step,Pos Action
data_11,40,13,9,1,1,2,2,11,1,3.3172,139346.5416,1,0,Black,M,White,M,White,F,0,0,1,0,Two-step,Neg Action
